Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,65.0161,99.6521,491.007,0.0718984,0.0490853
2,64.5435,98.6251,489.007,0.0703073,0.0493577
3,64.0837,98.5783,482.716,0.0704393,0.0496936
4,63.7767,98.2839,482.951,0.0679017,0.0494049
5,63.7406,98.0541,481.66,0.0688211,0.0494335
6,63.7812,98.0651,481.434,0.0694197,0.0505453
7,64.1772,98.1986,482.009,0.0695029,0.0502425
8,64.0091,98.2139,481.644,0.068791,0.0511061
9,63.4934,98.7489,482.374,0.0717337,0.0514271
10,64.2568,98.1552,481.464,0.0714228,0.0497293
11,63.901,98.207,481.91,0.0724419,0.051711
12,63.706,98.2721,481.284,0.0761671,0.0521539
13,63.5921,98.0251,481.773,0.0714389,0.0517055
14,63.5941,98.1934,481.763,0.071067,0.051679
15,63.5137,98.0948,481.344,0.0698303,0.0523132
16,63.6076,98.4212,481.385,0.071192,0.0485333
17,63.9238,98.6869,481.806,0.0693331,0.050788
18,63.8635,97.9383,481.75,0.0687509,0.0514199
19,63.1834,97.9063,482.202,0.0689648,0.0498065
20,64.1148,98.5243,483.969,0.0744827,0.0492801
21,63.3962,98.0214,481.912,0.0699003,0.0513991
22,63.8743,98.4863,481.743,0.0697205,0.0492429
23,63.9429,98.1596,481.709,0.071756,0.0500258
24,63.6603,98.5471,483.242,0.070465,0.049894
25,63.6486,98.2379,481.498,0.0709592,0.0502052
26,63.85,98.4334,482.4,0.0684043,0.0491158
27,63.6079,97.5198,482.17,0.0681436,0.0513301
28,63.5055,98.2047,482.732,0.0729188,0.0508782
29,63.6645,98.522,482.348,0.0681233,0.052752
30,63.5183,98.5375,483.167,0.0713007,0.050547
