No. Ejecución,Insertion Sort(segundos),Selection Sort(segundos),Bubble Sort(segundos),Merge Sort(segundos),Quicksort(segundos)
1,0.000254086,0.000434668,0.00119944,8.5646e-05,5.7354e-05
2,0.00041635,0.000447158,0.0011791,8.4464e-05,6.1987e-05
3,0.000397004,0.000438943,0.00114778,8.2483e-05,6.1671e-05
4,0.000303648,0.000463597,0.00119901,8.4399e-05,5.5714e-05
5,0.000249688,0.000407031,0.00116611,8.136e-05,5.5998e-05
6,0.000378632,0.000427713,0.00107739,8.0095e-05,5.2297e-05
7,0.000368967,0.000404169,0.00110757,7.9648e-05,5.4176e-05
8,0.000277037,0.000411413,0.00101712,7.8857e-05,5.6841e-05
9,0.000498416,0.000427696,0.00118545,7.5696e-05,5.7946e-05
10,0.000265119,0.000432332,0.00105327,7.5014e-05,5.6151e-05
11,0.000260608,0.000437486,0.00105631,7.5186e-05,5.7026e-05
12,0.000242592,0.000403682,0.000997025,8.3976e-05,5.6023e-05
13,0.000364141,0.000433409,0.00109991,8.034e-05,5.5811e-05
14,0.000476279,0.000417866,0.00105873,7.763e-05,5.6617e-05
15,0.000252628,0.000431146,0.00105025,8.0083e-05,6.0306e-05
16,0.000250653,0.000403886,0.00105191,7.9881e-05,5.269e-05
17,0.000412026,0.00040279,0.0011032,7.9645e-05,5.2039e-05
18,0.000351015,0.000457021,0.00121545,8.2626e-05,5.2894e-05
19,0.000445517,0.00043057,0.00110598,8.0387e-05,5.7439e-05
20,0.000273373,0.000404025,0.00107392,8.0636e-05,5.5011e-05
21,0.000255103,0.000411583,0.0011429,7.84e-05,5.781e-05
22,0.000492567,0.000406738,0.00115657,8.1523e-05,5.6671e-05
23,0.000477433,0.00043462,0.00105766,8.2474e-05,5.7367e-05
24,0.000477298,0.000406667,0.00108626,9.2069e-05,5.7131e-05
25,0.000266932,0.000430975,0.00118064,9.1561e-05,5.748e-05
26,0.000489676,0.000442112,0.00110477,8.8871e-05,5.7497e-05
27,0.000278073,0.000429847,0.00149351,8.3042e-05,5.7708e-05
28,0.000280353,0.000550666,0.0011793,8.8666e-05,6.0268e-05
29,0.000248918,0.000436306,0.00124406,8.3699e-05,5.9388e-05
30,0.000444945,0.000447878,0.0011473,8.3259e-05,5.6441e-05
