Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,261.52,394.204,1942.86,0.144468,0.103241
2,261.406,394.141,1941.38,0.143842,0.108898
3,261.547,393.569,1942.15,0.150559,0.103189
4,261.097,393.748,1942.9,0.146706,0.106858
5,261.639,393.72,1945.55,0.144671,0.105067
6,261.716,393.268,1942.05,0.149036,0.106368
7,262.695,393.914,1950.75,0.145322,0.105014
8,262.503,394.055,1955.17,0.15047,0.108904
9,262.962,394.639,1955.69,0.145902,0.108515
10,263.069,394.72,1956.12,0.147273,0.103608
11,263.372,394.072,1954.02,0.145579,0.107507
12,262.896,394.06,1972.77,0.145114,0.108537
13,263.106,394.341,1955.57,0.146349,0.105942
14,262.71,394.359,1957.39,0.148775,0.104343
15,261.99,393.736,1956.08,0.146194,0.104782
16,263.432,392.951,1962.63,0.149222,0.103835
17,263.088,395.192,1955.49,0.145323,0.108726
18,262.738,394.37,1956.82,0.146574,0.108275
19,263.222,394.194,1957.05,0.14471,0.105164
20,262.891,399.561,1991.13,0.148411,0.10897
21,267.632,407.975,1967.19,0.152671,0.108305
22,265.474,395.663,1975.77,0.147856,0.105719
23,264.324,396.545,1974.15,0.147159,0.104768
24,266.774,401.531,1973.42,0.146581,0.107962
25,264.775,401.755,1979.05,0.148767,0.11072
26,266.229,396.315,1976.56,0.149028,0.109974
27,265.426,395.069,1975.65,0.146884,0.107171
28,265.583,395.737,1976.1,0.148906,0.107589
29,265.309,395.042,1973.24,0.149256,0.107924
30,265.819,394.415,1977.65,0.148411,0.10863
