Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,0.000152645,0.000313361,0.000574526,5.2535e-05,3.6306e-05
2,0.0001488,0.000303382,0.0004797,4.9291e-05,3.6165e-05
3,0.000152953,0.000304075,0.000493731,4.9562e-05,3.7753e-05
4,0.000146456,0.00030209,0.000492823,4.9893e-05,3.6145e-05
5,0.000154409,0.000303584,0.000491332,4.9624e-05,3.6004e-05
6,0.00015584,0.000302731,0.000496561,4.966e-05,3.6129e-05
7,0.000155635,0.000302482,0.000498986,5.0587e-05,3.618e-05
8,0.000163191,0.000303428,0.000482835,5.0371e-05,3.715e-05
9,0.000147661,0.000302234,0.000486468,5.0229e-05,3.7373e-05
10,0.000148037,0.000302463,0.000492588,6.0464e-05,4.6352e-05
11,0.000140732,0.000300236,0.000474899,5.0185e-05,3.6966e-05
12,0.000154026,0.000304257,0.000491992,4.9729e-05,3.6754e-05
13,0.000153654,0.000300948,0.00049171,5.1414e-05,3.776e-05
14,0.00014387,0.000312674,0.000480813,5.1001e-05,3.6173e-05
15,0.000148126,0.000299044,0.000480687,5.0587e-05,3.6908e-05
16,0.00014695,0.000300881,0.000437606,4.621e-05,3.2169e-05
17,0.000153943,0.000273663,0.000438055,4.6098e-05,3.2413e-05
18,0.000150419,0.000271172,0.000442535,4.4757e-05,3.236e-05
19,0.000142833,0.000271199,0.000430509,4.5148e-05,3.2865e-05
20,0.000159729,0.000272164,0.000468555,4.5242e-05,3.4037e-05
21,0.000142111,0.000273895,0.000434803,4.5301e-05,3.2873e-05
22,0.000152068,0.000279379,0.000443598,4.5937e-05,3.2622e-05
23,0.000148558,0.000271778,0.000432595,4.4718e-05,3.3522e-05
24,0.000156413,0.000272944,0.000449021,4.5178e-05,3.243e-05
25,0.000152426,0.000271599,0.000439204,4.5007e-05,3.3854e-05
26,0.000242289,0.000315074,0.000431067,4.5043e-05,3.2242e-05
27,0.000152354,0.000271028,0.000479362,5.0395e-05,3.6758e-05
28,0.000152874,0.000273492,0.00044396,4.6069e-05,3.4048e-05
29,0.000152037,0.000289236,0.000451329,4.5425e-05,3.2513e-05
30,0.000159493,0.000289196,0.00111136,4.5497e-05,3.3388e-05
