Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,0.0130998,0.0254342,0.041204,0.000667479,0.000503696
2,0.014367,0.0257277,0.0524913,0.000892773,0.00055809
3,0.0282122,0.0258831,0.0561586,0.000898154,0.000559512
4,0.0310233,0.0255962,0.041484,0.000630188,0.000497498
5,0.0137833,0.0300461,0.0610308,0.000897567,0.000494941
6,0.0310395,0.0256153,0.0408195,0.000569075,0.000450167
7,0.0128567,0.0258143,0.0582024,0.000893406,0.000536259
8,0.0302064,0.0258217,0.0450106,0.000571221,0.000445196
9,0.0128236,0.0259024,0.040596,0.000580802,0.000458491
10,0.012766,0.0254606,0.0473671,0.000901016,0.000529526
11,0.031491,0.0261,0.0635786,0.000635073,0.000507167
12,0.0222061,0.0258461,0.0719535,0.00107931,0.000604324
13,0.0358875,0.0276542,0.0439914,0.00056897,0.000658217
14,0.0303528,0.026273,0.0665324,0.00115223,0.00067169
15,0.0340247,0.0260121,0.0620632,0.000898846,0.000511521
16,0.0316128,0.0266478,0.0593544,0.000904481,0.000561827
17,0.0214941,0.0259732,0.044679,0.00091161,0.000639474
18,0.0321592,0.0283127,0.0489222,0.000599052,0.000492696
19,0.0131321,0.0263652,0.0410414,0.000586139,0.000449135
20,0.0130484,0.0256917,0.0592297,0.000931209,0.000516652
21,0.0306416,0.0262737,0.058413,0.000582929,0.000489237
22,0.0133167,0.0262555,0.0413277,0.000622086,0.000448795
23,0.0131385,0.0267902,0.0542058,0.000914149,0.000525067
24,0.0236665,0.0266643,0.0559908,0.000993997,0.000537181
25,0.0312384,0.0256209,0.0589691,0.000904362,0.000507441
26,0.0318946,0.025534,0.0527675,0.000905363,0.000521316
27,0.0312222,0.0260132,0.048923,0.000661397,0.000481812
28,0.0130433,0.0264969,0.0592734,0.000915457,0.000519865
29,0.0303602,0.0256362,0.0573181,0.000888611,0.000513748
30,0.0310821,0.0265897,0.0573224,0.000890812,0.000512043
