Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,0.618743,0.96833,4.52568,0.00659339,0.00431185
2,0.63227,0.987362,4.52065,0.00607251,0.00443465
3,0.637796,0.965048,4.47995,0.00593762,0.00437218
4,0.612781,0.981392,4.57893,0.00606828,0.00429957
5,0.621409,0.98947,4.58178,0.00588386,0.00413822
6,0.617846,0.97745,4.52779,0.00612116,0.0043339
7,0.630002,0.994096,4.52529,0.00575022,0.00424339
8,0.631378,0.96347,4.50049,0.00606123,0.00424705
9,0.620442,0.987728,4.47147,0.0061856,0.00443365
10,0.634053,0.971136,4.46342,0.00560411,0.00422954
11,0.612661,0.963742,4.48512,0.00592256,0.00435799
12,0.623472,0.966374,4.46564,0.00579344,0.00427157
13,0.613305,0.969581,4.47753,0.00570566,0.00398065
14,0.627327,0.958345,4.4701,0.00578853,0.00406978
15,0.618039,0.966383,4.48673,0.00577862,0.00430392
16,0.627621,0.976634,4.51213,0.00639772,0.0040866
17,0.622322,0.981288,4.4755,0.0058489,0.00392882
18,0.619539,0.986782,4.54091,0.00573848,0.00425082
19,0.63817,0.987863,4.50151,0.00559373,0.00427827
20,0.62932,0.976577,4.49775,0.00574461,0.00402424
21,0.621222,0.978805,4.45584,0.00590958,0.00429058
22,0.623187,0.984191,4.4568,0.00573862,0.00401804
23,0.625086,0.977857,4.4857,0.00572856,0.00421899
24,0.617573,0.97153,4.47776,0.00605901,0.00440896
25,0.621081,0.985728,4.50646,0.00631771,0.00422232
26,0.628941,0.979162,4.4635,0.00608626,0.00407577
27,0.62102,0.979917,4.57486,0.00626774,0.00425673
28,0.623478,0.979925,4.50517,0.00600115,0.00417831
29,0.624712,0.995848,4.49664,0.00579135,0.00416797
30,0.632888,0.980584,4.44317,0.00575968,0.00430797
