Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,2.62e-07,4.3e-07,4.63e-07,1.079e-06,4.46e-07
2,2.63e-07,4.73e-07,5.4e-07,6.74e-07,4.53e-07
3,1.88e-07,3.54e-07,3.5e-07,6.34e-07,3e-07
4,2.19e-07,3.92e-07,4.98e-07,5.42e-07,3.85e-07
5,1.92e-07,4.09e-07,3.68e-07,4.44e-07,3.48e-07
6,2.11e-07,3.86e-07,3.54e-07,5.02e-07,3.44e-07
7,2.37e-07,3.47e-07,3.96e-07,4.8e-07,3.33e-07
8,2.69e-07,3.6e-07,3.49e-07,5.21e-07,4.65e-07
9,1.98e-07,3.85e-07,3.25e-07,4.1e-07,3.08e-07
10,2.37e-07,2.89e-07,4.28e-07,5.78e-07,2.97e-07
11,2.42e-07,4.34e-07,3.79e-07,4.93e-07,3.32e-07
12,2.24e-07,3.4e-07,3.44e-07,5.45e-07,3.41e-07
13,2.08e-07,3.69e-07,3.14e-07,4.65e-07,3.25e-07
14,1.72e-07,3.64e-07,3.58e-07,5.3e-07,2.59e-07
15,2.17e-07,3.92e-07,4.55e-07,5.45e-07,3.48e-07
16,1.89e-07,3.28e-07,3.89e-07,4.48e-07,2.92e-07
17,1.74e-07,3.45e-07,3.29e-07,4.86e-07,3.22e-07
18,1.94e-07,2.99e-07,3.15e-07,4.68e-07,3.12e-07
19,2.24e-07,3.43e-07,3.82e-07,5.47e-07,2.95e-07
20,2.01e-07,3.64e-07,3.24e-07,5.18e-07,3.42e-07
21,2.56e-07,3.05e-07,3.38e-07,4.67e-07,3.26e-07
22,2.57e-07,3.14e-07,3.98e-07,5.45e-07,3.32e-07
23,2.1e-07,3.03e-07,3.21e-07,4.89e-07,2.75e-07
24,2.24e-07,3.15e-07,2.73e-07,4.75e-07,3e-07
25,2.1e-07,3.52e-07,3.11e-07,4.84e-07,3.67e-07
26,2.19e-07,3.2e-07,3.77e-07,5.16e-07,2.86e-07
27,2.41e-07,2.56e-07,3.43e-07,5.07e-07,3.37e-07
28,2.17e-07,2.6e-07,3.59e-07,4.51e-07,3.04e-07
29,1.65e-07,3.68e-07,4e-07,4.72e-07,2.58e-07
30,1.84e-07,3.58e-07,2.58e-07,5.17e-07,3.52e-07
