No. Ejecución,Insertion Sort(segundos),Selection Sort(segundos),Bubble Sort(segundos),Merge Sort(segundos),Quicksort(segundos)
1,4.717e-06,7.81e-06,1.6461e-05,7.53e-06,5.238e-06
2,4.964e-06,8.507e-06,1.9134e-05,7.188e-06,4.927e-06
3,7.208e-06,7.706e-06,1.9778e-05,6.959e-06,4.938e-06
4,6.731e-06,9.841e-06,2.0476e-05,7.319e-06,5.167e-06
5,4.185e-06,9.742e-06,2.1295e-05,7.259e-06,4.677e-06
6,7.059e-06,7.622e-06,1.5904e-05,7.239e-06,4.468e-06
7,6.326e-06,9.946e-06,1.6746e-05,8.04e-06,4.452e-06
8,5.924e-06,9.665e-06,1.8681e-05,7.476e-06,4.298e-06
9,3.692e-06,7.642e-06,1.6743e-05,7.433e-06,4.55e-06
10,3.736e-06,7.291e-06,2.0017e-05,7.254e-06,4.658e-06
11,6.27e-06,9.861e-06,1.6353e-05,7.728e-06,4.467e-06
12,6.327e-06,9.014e-06,1.9841e-05,6.722e-06,4.414e-06
13,6.513e-06,9.83e-06,1.9779e-05,7.486e-06,4.036e-06
14,5.985e-06,9.629e-06,2.0013e-05,7.084e-06,4.258e-06
15,6.859e-06,7.969e-06,1.7949e-05,7.205e-06,4.253e-06
16,6.611e-06,7.813e-06,1.7169e-05,7.232e-06,3.926e-06
17,6.603e-06,9.579e-06,2.0553e-05,7.376e-06,3.911e-06
18,3.677e-06,7.526e-06,2.0107e-05,7.569e-06,4.398e-06
19,6.57e-06,1.0136e-05,1.8863e-05,7.68e-06,4.344e-06
20,6.33e-06,7.717e-06,1.9483e-05,7.476e-06,4.287e-06
21,6.23e-06,1.0212e-05,1.91e-05,7.317e-06,4.293e-06
22,6.89e-06,7.915e-06,1.6733e-05,7.649e-06,4.203e-06
23,7.206e-06,1.0296e-05,1.7623e-05,6.81e-06,4.234e-06
24,6.845e-06,9.799e-06,1.6919e-05,7.544e-06,3.713e-06
25,6.516e-06,9.753e-06,1.6878e-05,7.576e-06,3.984e-06
26,6.091e-06,7.55e-06,1.9621e-05,7.433e-06,3.826e-06
27,6.396e-06,9.929e-06,1.7188e-05,7.825e-06,4.112e-06
28,3.758e-06,7.615e-06,1.6791e-05,6.951e-06,3.904e-06
29,3.68e-06,1.008e-05,2.0946e-05,7.695e-06,4.595e-06
30,5.907e-06,7.538e-06,2.0617e-05,7e-06,4.376e-06
