Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,2.516e-06,4.769e-06,7.155e-06,4.601e-06,2.766e-06
2,2.371e-06,4.743e-06,7.238e-06,3.956e-06,2.549e-06
3,2.265e-06,4.496e-06,7.135e-06,4.11e-06,2.55e-06
4,2.178e-06,4.721e-06,7.464e-06,3.983e-06,2.303e-06
5,2.19e-06,4.549e-06,7.245e-06,4.035e-06,2.631e-06
6,2.011e-06,4.536e-06,6.889e-06,4.389e-06,2.548e-06
7,2.377e-06,4.441e-06,7.532e-06,3.612e-06,2.314e-06
8,2.169e-06,4.798e-06,7.475e-06,3.603e-06,2.277e-06
9,2.23e-06,4.714e-06,7.722e-06,3.962e-06,2.569e-06
10,1.988e-06,4.279e-06,7.234e-06,4.195e-06,2.328e-06
11,2.263e-06,4.558e-06,7.419e-06,4.309e-06,2.507e-06
12,2.091e-06,4.55e-06,7.055e-06,4.188e-06,2.265e-06
13,2.115e-06,4.515e-06,7.247e-06,4.163e-06,2.381e-06
14,1.978e-06,4.376e-06,7.132e-06,4.285e-06,2.5e-06
15,2.021e-06,4.422e-06,6.964e-06,4.276e-06,2.613e-06
16,2.469e-06,4.711e-06,7.491e-06,4.137e-06,2.301e-06
17,1.992e-06,4.599e-06,7.146e-06,4.196e-06,2.389e-06
18,2.245e-06,4.559e-06,7.504e-06,4.337e-06,2.583e-06
19,2.066e-06,4.426e-06,7.595e-06,4.248e-06,2.477e-06
20,2.045e-06,4.442e-06,6.953e-06,4.017e-06,2.375e-06
21,2.128e-06,4.612e-06,7.15e-06,4.08e-06,2.442e-06
22,2.11e-06,4.605e-06,7.377e-06,4.181e-06,2.49e-06
23,2.229e-06,4.56e-06,7.326e-06,4.366e-06,2.459e-06
24,1.982e-06,4.611e-06,7.169e-06,4.182e-06,2.426e-06
25,2.036e-06,4.503e-06,6.943e-06,4.039e-06,2.491e-06
26,2.123e-06,4.708e-06,7.198e-06,4.113e-06,2.504e-06
27,2.121e-06,4.624e-06,7.573e-06,4.105e-06,2.366e-06
28,2.157e-06,4.567e-06,7.661e-06,4.08e-06,2.552e-06
29,2.234e-06,4.608e-06,7.559e-06,4.308e-06,2.333e-06
30,2.204e-06,4.421e-06,7.58e-06,4.167e-06,2.271e-06
